0: 0001a
#52: [0082a] sees 6604 (+372) 3D points
Estimated Focal Length [2317][1.21N]
# 1511 projs (269 pts and 3 merges)
SKIP: 0 cams, 5813 points, 31369 projs
PBA: 4745 3D pts, 20 cams and 37534 projs...
PBA: 0.561 -> 0.458 (5 LMs in 0.08sec)
#points w/ large errors:	4
Focal Length : [2316.737]->[2439.302]
Radial Distortion : [-0.118 -> -18]

#############################
#53: [0083a] sees 6586 (+344) 3D points
Estimated Focal Length [2315][1.21N]
# 1357 projs (152 pts and 5 merges)
PBA: 8506 3D pts, 53 cams and 65768 projs...
PBA: 0.458 -> 0.418 (15 LMs in 0.05sec)
#points w/ large errors:	3
Focal Length : [2315.355]->[2430.051]
Radial Distortion : [-0.193 -> -29]

#############################
#54: [0084a] sees 6091 (+409) 3D points
Estimated Focal Length [2504][1.30N]
# 1375 projs (154 pts and 3 merges)
SKIP: 0 cams, 6335 points, 35493 projs
PBA: 4505 3D pts, 20 cams and 36032 projs...
PBA: 0.526 -> 0.488 (5 LMs in 0.01sec)
#points w/ large errors:	10

**************************************
#54/54:  2006 projs and 328 pts added.
PBA: 10986 3D pts, 54 cams and 72008 projs...
PBA: 0.453 -> 0.425 (22 LMs in 0.21sec)
PBA: 10986 3D pts, 54 cams and 72008 projs...
PBA: 0.425 -> 0.425 (10 LMs in 0.05sec)
Focal Length : [2504.216]->[2466.239]
Radial Distortion : [-0.116 -> -17]

#############################
#55: [0085a] sees 5585 (+431) 3D points
Estimated Focal Length [2409][1.25N]
# 1530 projs (216 pts and 3 merges)
SKIP: 0 cams, 6654 points, 37903 projs
PBA: 4534 3D pts, 20 cams and 35621 projs...
PBA: 0.597 -> 0.568 (5 LMs in 0.01sec)
#points w/ large errors:	35
Focal Length : [2409.050]->[2424.571]
Radial Distortion : [-0.185 -> -28]

#############################
#56: [0086a] sees 5143 (+508) 3D points
Estimated Focal Length [2574][1.34N]
# 1636 projs (242 pts and 4 merges)
SKIP: 0 cams, 6910 points, 40317 projs
PBA: 4478 3D pts, 20 cams and 34835 projs...
PBA: 0.629 -> 0.541 (5 LMs in 0.06sec)
#points w/ large errors:	10
Focal Length : [2573.629]->[2463.226]
Radial Distortion : [-0.239 -> -35]

#############################
#57: [0087a] sees 4478 (+498) 3D points
Estimated Focal Length [2382][1.24N]
# 1968 projs (395 pts and 2 merges)
SKIP: 0 cams, 7150 points, 42300 projs
PBA: 4608 3D pts, 20 cams and 34590 projs...
PBA: 0.745 -> 0.535 (5 LMs in 0.08sec)
#points w/ large errors:	11
Focal Length : [2381.846]->[2413.057]
Radial Distortion : [-0.225 -> -35]

#############################
#58: [0088a] sees 4515 (+422) 3D points
Estimated Focal Length [2580][1.34N]
# 1556 projs (163 pts and 4 merges)
SKIP: 0 cams, 7379 points, 44063 projs
PBA: 4525 3D pts, 20 cams and 34282 projs...
PBA: 0.676 -> 0.591 (5 LMs in 0.01sec)
#points w/ large errors:	12
Focal Length : [2579.616]->[2571.951]
Radial Distortion : [-0.122 -> -17]

#############################
#59: [0089a] sees 3827 (+533) 3D points
Estimated Focal Length [2484][1.29N]
# 2059 projs (417 pts and 2 merges)
PBA: 9896 3D pts, 59 cams and 75344 projs...
PBA: 0.506 -> 0.458 (17 LMs in 0.26sec)
#points w/ large errors:	21
Focal Length : [2484.096]->[2422.342]
Radial Distortion : [-0.235 -> -36]

#############################
#60: [0090a] sees 3817 (+413) 3D points
Estimated Focal Length [2516][1.31N]
# 1941 projs (334 pts and 10 merges)
SKIP: 0 cams, 7739 points, 46692 projs
PBA: 4855 3D pts, 20 cams and 35393 projs...
PBA: 0.762 -> 0.758 (5 LMs in 0.01sec)
#points w/ large errors:	10
Focal Length : [2515.840]->[2515.386]
Radial Distortion : [-0.001 -> -1]

#############################
#61: [0091a] sees 3943 (+359) 3D points
Estimated Focal Length [2335][1.22N]
# 1772 projs (235 pts and 8 merges)
SKIP: 0 cams, 7901 points, 47976 projs
PBA: 4907 3D pts, 20 cams and 35667 projs...
PBA: 0.836 -> 0.448 (5 LMs in 0.11sec)
#points w/ large errors:	8
Focal Length : [2335.325]->[2406.963]
Radial Distortion : [-0.256 -> -40]

#############################
#62: [0092a] sees 4025 (+387) 3D points
Estimated Focal Length [2486][1.29N]
# 1649 projs (172 pts and 5 merges)
SKIP: 18 cams, 8048 points, 48911 projs
PBA: 4913 3D pts, 20 cams and 36246 projs...
PBA: 0.598 -> 0.445 (5 LMs in 0.13sec)
#points w/ large errors:	4
Focal Length : [2486.351]->[2439.469]
Radial Distortion : [-0.175 -> -27]

#############################
#63: [0093a] sees 4180 (+476) 3D points
Estimated Focal Length [2513][1.31N]
# 1890 projs (282 pts and 1 merges)
SKIP: 24 cams, 8139 points, 49344 projs
PBA: 5099 3D pts, 20 cams and 37623 projs...
PBA: 0.474 -> 0.421 (5 LMs in 0.05sec)
#points w/ large errors:	8
Focal Length : [2513.414]->[2394.349]
Radial Distortion : [-0.208 -> -33]

#############################
#64: [0094a] sees 4466 (+453) 3D points
Estimated Focal Length [2402][1.25N]
# 1806 projs (233 pts and 4 merges)
PBA: 10858 3D pts, 64 cams and 83441 projs...
PBA: 0.487 -> 0.425 (22 LMs in 0.35sec)
#points w/ large errors:	10
Focal Length : [2402.215]->[2392.263]
Radial Distortion : [-0.193 -> -30]

#############################
#65: [0095a] sees 4920 (+442) 3D points
Estimated Focal Length [2364][1.23N]
# 1885 projs (253 pts and 2 merges)
SKIP: 24 cams, 8339 points, 50458 projs
PBA: 5355 3D pts, 20 cams and 40066 projs...
PBA: 0.550 -> 0.422 (5 LMs in 0.02sec)
#points w/ large errors:	5
Focal Length : [2364.301]->[2384.157]
Radial Distortion : [-0.196 -> -31]

#############################
#66: [0096a] sees 5576 (+364) 3D points
Estimated Focal Length [2354][1.23N]
# 2182 projs (378 pts and 3 merges)
SKIP: 24 cams, 8437 points, 50912 projs
PBA: 5621 3D pts, 20 cams and 41701 projs...
PBA: 0.519 -> 0.462 (5 LMs in 0.05sec)
#points w/ large errors:	9
Focal Length : [2354.002]->[2353.482]
Radial Distortion : [-0.088 -> -14]

#############################
#67: [0001a] sees 3637 (+150) 3D points
Estimated Focal Length [2242][1.17N]
# 1261 projs (151 pts and 2 merges)
SKIP: 24 cams, 8569 points, 51614 projs
PBA: 5621 3D pts, 20 cams and 42180 projs...
PBA: 0.561 -> 0.449 (5 LMs in 0.03sec)
#points w/ large errors:	16
Focal Length : [2242.118]->[2261.772]
Radial Distortion : [-0.156 -> -28]

#############################
#68: [0002a] sees 3907 (+580) 3D points
Estimated Focal Length [2551][1.33N]
# 1615 projs (327 pts and 0 merges)
SKIP: 24 cams, 8700 points, 52298 projs
PBA: 5800 3D pts, 20 cams and 42997 projs...
PBA: 0.490 -> 0.403 (5 LMs in 0.12sec)
#points w/ large errors:	3

**************************************
#68/68:  2780 projs and 507 pts added.
PBA: 14615 3D pts, 68 cams and 96199 projs...
PBA: 0.560 -> 0.468 (20 LMs in 0.17sec)
#points w/ large errors:	1
PBA: 14614 3D pts, 68 cams and 96192 projs...
PBA: 0.469 -> 0.469 (18 LMs in 0.14sec)
Focal Length : [2551.002]->[2348.318]
Radial Distortion : [-0.267 -> -43]

#############################
#69: [0003a] sees 4561 (+476) 3D points
Estimated Focal Length [2485][1.29N]
# 2295 projs (477 pts and 2 merges)
SKIP: 24 cams, 8819 points, 52947 projs
PBA: 6260 3D pts, 20 cams and 45530 projs...
PBA: 0.687 -> 0.552 (5 LMs in 0.06sec)
#points w/ large errors:	72
Focal Length : [2485.471]->[2466.008]
Radial Distortion : [-0.216 -> -32]

#############################
#70: [0004a] sees 5760 (+192) 3D points
Estimated Focal Length [2497][1.30N]
# 1635 projs (110 pts and 7 merges)
SKIP: 23 cams, 8987 points, 54580 projs
PBA: 6121 3D pts, 20 cams and 45522 projs...
PBA: 0.493 -> 0.451 (5 LMs in 0.08sec)
#points w/ large errors:	12
Focal Length : [2497.225]->[2495.836]
Radial Distortion : [-0.115 -> -17]

#############################
#71: [0005a] sees 6302 (+234) 3D points
Estimated Focal Length [2688][1.40N]
# 1887 projs (241 pts and 3 merges)
SKIP: 23 cams, 9145 points, 55096 projs
PBA: 6185 3D pts, 20 cams and 46285 projs...
PBA: 0.489 -> 0.404 (5 LMs in 0.12sec)
#points w/ large errors:	3
Focal Length : [2687.645]->[2585.677]
Radial Distortion : [-0.247 -> -33]

#############################
#72: [0006a] sees 6850 (+178) 3D points
Estimated Focal Length [2671][1.39N]
# 1647 projs (117 pts and 2 merges)
SKIP: 23 cams, 9338 points, 56345 projs
PBA: 6100 3D pts, 20 cams and 46562 projs...
PBA: 0.471 -> 0.406 (5 LMs in 0.08sec)
#points w/ large errors:	5
Focal Length : [2670.538]->[2599.491]
Radial Distortion : [-0.206 -> -28]

#############################
#73: [0007a] sees 7039 (+247) 3D points
Estimated Focal Length [2602][1.36N]
# 1556 projs (114 pts and 1 merges)
PBA: 12548 3D pts, 73 cams and 98370 projs...
PBA: 0.434 -> 0.420 (17 LMs in 0.18sec)
#points w/ large errors:	8
Focal Length : [2602.446]->[2573.814]
Radial Distortion : [-0.213 -> -29]

#############################
#74: [0008a] sees 7102 (+347) 3D points
Estimated Focal Length [2687][1.40N]
# 1915 projs (294 pts and 1 merges)
SKIP: 25 cams, 9748 points, 59533 projs
PBA: 6069 3D pts, 20 cams and 46728 projs...
PBA: 0.462 -> 0.430 (5 LMs in 0.12sec)
#points w/ large errors:	1
Focal Length : [2686.919]->[2598.849]
Radial Distortion : [-0.205 -> -27]

#############################
#75: [0009a] sees 7169 (+260) 3D points
Estimated Focal Length [2434][1.27N]
# 1454 projs (80 pts and 2 merges)
SKIP: 25 cams, 9968 points, 61353 projs
PBA: 5923 3D pts, 20 cams and 46292 projs...
PBA: 0.553 -> 0.436 (5 LMs in 0.02sec)
#points w/ large errors:	5
Focal Length : [2434.464]->[2572.288]
Radial Distortion : [-0.217 -> -30]

#############################
#76: [0010a] sees 6755 (+308) 3D points
Estimated Focal Length [2462][1.28N]
# 1654 projs (198 pts and 6 merges)
SKIP: 25 cams, 10195 points, 63387 projs
PBA: 5872 3D pts, 20 cams and 45885 projs...
PBA: 0.508 -> 0.450 (5 LMs in 0.08sec)
#points w/ large errors:	8
Focal Length : [2462.189]->[2563.394]
Radial Distortion : [-0.240 -> -33]

#############################
#77: [0011a] sees 6371 (+327) 3D points
Estimated Focal Length [2783][1.45N]
# 1779 projs (271 pts and 2 merges)
SKIP: 25 cams, 10443 points, 65221 projs
PBA: 5878 3D pts, 20 cams and 45776 projs...
PBA: 0.491 -> 0.460 (5 LMs in 0.08sec)
#points w/ large errors:	7
Focal Length : [2782.967]->[2591.566]
Radial Distortion : [-0.188 -> -25]

#############################
#78: [0012a] sees 6093 (+281) 3D points
Estimated Focal Length [2746][1.43N]
# 1663 projs (234 pts and 4 merges)
PBA: 13377 3D pts, 78 cams and 106130 projs...
PBA: 0.442 -> 0.429 (19 LMs in 0.15sec)
#points w/ large errors:	13
Focal Length : [2745.511]->[2659.152]
Radial Distortion : [-0.109 -> -14]

#############################
#79: [0013a] sees 5484 (+280) 3D points
Estimated Focal Length [2469][1.29N]
# 1447 projs (118 pts and 15 merges)
SKIP: 10 cams, 10921 points, 69898 projs
PBA: 5699 3D pts, 20 cams and 43997 projs...
PBA: 0.738 -> 0.500 (5 LMs in 0.07sec)
#points w/ large errors:	13
Focal Length : [2468.819]->[2658.906]
Radial Distortion : [-0.094 -> -12]

#############################
#80: [0014a] sees 4915 (+345) 3D points
Estimated Focal Length [2547][1.33N]
# 1551 projs (172 pts and 16 merges)
SKIP: 10 cams, 11118 points, 71792 projs
PBA: 5632 3D pts, 20 cams and 43502 projs...
PBA: 0.792 -> 0.499 (5 LMs in 0.04sec)
#points w/ large errors:	13
Focal Length : [2546.734]->[2664.862]
Radial Distortion : [-0.104 -> -13]

#############################
#81: [0015a] sees 4239 (+372) 3D points
Estimated Focal Length [2696][1.40N]
# 1657 projs (242 pts and 12 merges)
SKIP: 10 cams, 11288 points, 73282 projs
PBA: 5669 3D pts, 20 cams and 43479 projs...
PBA: 0.606 -> 0.494 (5 LMs in 0.02sec)
#points w/ large errors:	15
Focal Length : [2696.229]->[2613.558]
Radial Distortion : [-0.301 -> -39]

#############################
#82: [0016a] sees 3906 (+337) 3D points
Estimated Focal Length [3008][1.57N]
# 1701 projs (282 pts and 24 merges)
SKIP: 10 cams, 11443 points, 74933 projs
PBA: 5747 3D pts, 20 cams and 43370 projs...
PBA: 0.753 -> 0.516 (5 LMs in 0.03sec)
#points w/ large errors:	13
Focal Length : [3008.482]->[2717.696]
Radial Distortion : [-0.174 -> -21]

#############################
#83: [0017a] sees 3566 (+277) 3D points
Estimated Focal Length [2788][1.45N]
# 1465 projs (163 pts and 4 merges)
PBA: 13997 3D pts, 83 cams and 112845 projs...
PBA: 0.650 -> 0.424 (24 LMs in 0.27sec)
#points w/ large errors:	10
Focal Length : [2788.072]->[2583.320]
Radial Distortion : [-0.316 -> -42]

#############################
#84: [0018a] sees 3552 (+295) 3D points
Estimated Focal Length [2857][1.49N]
# 1550 projs (260 pts and 56 merges)
SKIP: 11 cams, 11698 points, 77572 projs
PBA: 5796 3D pts, 20 cams and 43449 projs...
PBA: 0.642 -> 0.445 (5 LMs in 0.02sec)
#points w/ large errors:	10
Focal Length : [2856.551]->[2582.097]
Radial Distortion : [-0.361 -> -48]

#############################
#85: [0019a] sees 3736 (+239) 3D points
Estimated Focal Length [2662][1.39N]
# 1399 projs (195 pts and 37 merges)
SKIP: 11 cams, 11837 points, 78558 projs
PBA: 5800 3D pts, 20 cams and 43714 projs...
PBA: 0.529 -> 0.454 (5 LMs in 0.05sec)
#points w/ large errors:	9
Focal Length : [2661.546]->[2594.589]
Radial Distortion : [-0.263 -> -35]

#############################
#86: [0020a] sees 3684 (+264) 3D points
Estimated Focal Length [2646][1.38N]
# 1393 projs (204 pts and 25 merges)
SKIP: 32 cams, 12392 points, 81831 projs
PBA: 5405 3D pts, 20 cams and 41758 projs...
PBA: 0.539 -> 0.517 (5 LMs in 0.00sec)
#points w/ large errors:	12

**************************************
#86/86:  2860 projs and 404 pts added.
PBA: 17923 3D pts, 86 cams and 124781 projs...
PBA: 0.561 -> 0.453 (35 LMs in 0.19sec)
#points w/ large errors:	1
PBA: 17922 3D pts, 86 cams and 124777 projs...
PBA: 0.451 -> 0.451 (50 LMs in 0.06sec)
Focal Length : [2645.919]->[2576.951]
Radial Distortion : [-0.294 -> -40]

#############################
#87: [0021a] sees 4209 (+247) 3D points
Estimated Focal Length [2693][1.40N]
# 1287 projs (172 pts and 34 merges)
SKIP: 32 cams, 12409 points, 81897 projs
PBA: 5642 3D pts, 20 cams and 44163 projs...
PBA: 0.646 -> 0.591 (5 LMs in 0.03sec)
#points w/ large errors:	72
Focal Length : [2692.597]->[2607.748]
Radial Distortion : [-0.225 -> -30]

#############################
#88: [0022a] sees 4320 (+223) 3D points
Estimated Focal Length [2714][1.41N]
# 1215 projs (165 pts and 32 merges)
SKIP: 32 cams, 12445 points, 82821 projs
PBA: 5661 3D pts, 20 cams and 44440 projs...
PBA: 0.565 -> 0.503 (5 LMs in 0.08sec)
#points w/ large errors:	12
Focal Length : [2713.521]->[2634.207]
Radial Distortion : [-0.181 -> -24]

#############################
#89: [0030a] sees 4365 (+204) 3D points
Estimated Focal Length [2805][1.46N]
# 1083 projs (138 pts and 23 merges)
SKIP: 6 cams, 12198 points, 78830 projs
PBA: 6011 3D pts, 20 cams and 48792 projs...
PBA: 0.528 -> 0.504 (5 LMs in 0.04sec)
#points w/ large errors:	19
Focal Length : [2804.687]->[2671.607]
Radial Distortion : [-0.091 -> -12]

#############################
#90: [0029a] sees 4972 (+193) 3D points
Estimated Focal Length [2569][1.34N]
# 1136 projs (144 pts and 20 merges)
SKIP: 6 cams, 12402 points, 80711 projs
PBA: 5902 3D pts, 20 cams and 47859 projs...
PBA: 0.505 -> 0.483 (5 LMs in 0.11sec)
#points w/ large errors:	11
Focal Length : [2569.184]->[2614.293]
Radial Distortion : [-0.195 -> -26]

#############################
#91: [0023a] sees 5494 (+166) 3D points
Estimated Focal Length [2495][1.30N]
# 1257 projs (166 pts and 26 merges)
PBA: 14916 3D pts, 91 cams and 122490 projs...
PBA: 0.462 -> 0.417 (31 LMs in 0.14sec)
#points w/ large errors:	25
Focal Length : [2494.619]->[2516.875]
Radial Distortion : [-0.197 -> -28]

#############################
#92: [0024a] sees 6161 (+126) 3D points
Estimated Focal Length [2453][1.28N]
# 1090 projs (76 pts and 28 merges)
SKIP: 10 cams, 12741 points, 83772 projs
PBA: 5709 3D pts, 20 cams and 46830 projs...
PBA: 0.526 -> 0.461 (5 LMs in 0.02sec)
#points w/ large errors:	6
Focal Length : [2453.028]->[2444.844]
Radial Distortion : [-0.350 -> -52]

#############################
#93: [0025a] sees 6560 (+161) 3D points
Estimated Focal Length [2689][1.40N]
# 1242 projs (139 pts and 31 merges)
SKIP: 10 cams, 12931 points, 84761 projs
PBA: 5612 3D pts, 20 cams and 46887 projs...
PBA: 0.501 -> 0.452 (5 LMs in 0.02sec)
#points w/ large errors:	9
Focal Length : [2689.340]->[2582.560]
Radial Distortion : [-0.169 -> -23]

#############################
#94: [0026a] sees 7197 (+125) 3D points
Estimated Focal Length [2301][1.20N]
# 1164 projs (83 pts and 22 merges)
SKIP: 10 cams, 13178 points, 86158 projs
PBA: 5411 3D pts, 20 cams and 46595 projs...
PBA: 0.535 -> 0.450 (5 LMs in 0.01sec)
#points w/ large errors:	7
Focal Length : [2300.961]->[2497.753]
Radial Distortion : [-0.264 -> -38]

#############################
#95: [0027a] sees 7712 (+150) 3D points
Estimated Focal Length [3380][1.76N]
# 1301 projs (157 pts and 25 merges)
SKIP: 10 cams, 13392 points, 87825 projs
PBA: 5304 3D pts, 20 cams and 46164 projs...
PBA: 0.556 -> 0.460 (5 LMs in 0.01sec)
#points w/ large errors:	8
Focal Length : [3380.052]->[2643.522]
Radial Distortion : [-0.139 -> -18]

#############################
#96: [0028a] sees 8263 (+113) 3D points
Estimated Focal Length [2851][1.49N]
# 1229 projs (99 pts and 24 merges)
PBA: 15170 3D pts, 96 cams and 127921 projs...
PBA: 0.435 -> 0.426 (15 LMs in 0.16sec)
#points w/ large errors:	11
Focal Length : [2851.353]->[2754.925]
Radial Distortion : [-0.103 -> -13]

^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
#96/96:  566 projs and 134 pts added.
PBA: 18845 3D pts, 96 cams and 135555 projs...
PBA: 0.454 -> 0.416 (18 LMs in 0.19sec)
#points w/ large errors:	18
PBA: 18828 3D pts, 96 cams and 135371 projs...
PBA: 0.411 -> 0.410 (30 LMs in 0.19sec)
END: No more images to add [0 projs]

#############################
Failed to find two images for initialization
Resuming SfM finished, 20 sec used

---------------------------------------------------
96 cams, 18847 pts (3+: 15155)
135371 projections (3+: 128025)
---------------------------------------------------
1 model(s) reconstructed from 96 images;
96 modeled; 0 reused; 0 EXIF; 
3MB(3) used to store feature location.
---------------------------------------------------

########-------timing------#########
Structure-From-Motion finished, 21 sec used
17.5(13.0) seconds on Bundle Adjustment (+)
15.7(12.4) seconds on Bundle Adjustment (*)
#############################
----------------------------------------------------------------
Run full 3D reconstruction, finished
Totally 22.000 seconds used

Save to chest.nvm ... done
